Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
6,Kings                  ,NY    ,71,2300664,28.3,12.4,4861,8942,680966,63.7,16.6,19.5,9.5,16803,38658,1
11,Philadelphia           ,PA    ,135,1585577,29.1,15.2,6641,10494,109148,64.3,15.2,16.1,8,16721,26512,1
16,Middlesex              ,MA    ,824,1398468,31.7,12.5,5158,4152,35825,84.3,35.4,4.2,7.3,25312,35398,1
17,Allegheny              ,PA    ,730,1336449,26.2,17.4,5281,8436,50186,79,22.6,8.7,5.3,20681,27639,1
18,Suffolk                ,NY    ,911,1321864,27.9,10.8,3021,3904,66723,82.2,23,3.3,7,24262,32071,1
19,Nassau                 ,NY    ,287,1287348,25.7,14.2,6147,5200,43203,84.2,30,2.5,5.1,31679,40782,1
29,Erie                   ,NY    ,1045,968532,27.3,15.2,2748,4632,55306,76.4,20,9.4,6.8,18305,17729,1
32,Westchester            ,NY    ,433,874866,26.3,14.4,4577,3540,37118,81,35.3,4.7,5.4,33330,29159,1
35,Hartford               ,CT    ,736,851783,28.3,14.1,2851,2940,51926,77.7,25.8,6,6.9,24875,21188,1
39,Fairfield              ,CT    ,626,827645,26.7,13.3,2417,2494,44374,81,34.2,4.5,5.9,32342,26768,1
41,Bergen                 ,NJ    ,234,825380,25.4,15.3,3226,2279,28521,81.6,31.7,2.7,5.2,32230,26602,1
43,New_Haven              ,CT    ,606,804219,28.7,14.7,3161,2486,52903,77.5,24.2,6,7.3,22197,17851,1
47,Essex                  ,NJ    ,126,778206,28.6,12.7,2811,4841,75595,70.1,24,11.3,7.9,24523,19084,1
55,Monroe                 ,NY    ,659,713968,29,12.5,2438,3077,43780,80.1,26.3,7.7,4.4,21641,15451,1
56,Worcester              ,MA    ,1513,709705,29.2,13.7,1902,2205,7099,77.4,22.2,6.3,10.2,19895,14120,1
58,Montgomery             ,PA    ,483,678111,26.1,15,3237,2425,20335,83.8,32.1,2.2,5,28462,19300,1
61,Middlesex              ,NJ    ,311,671780,31.6,11.8,1637,1880,30548,79.4,26.5,3.4,5.7,24896,16725,1
62,Essex                  ,MA    ,498,670080,27.3,14.1,1185,2009,34312,80.2,25.9,7.5,9,22834,15301,1
67,Suffolk                ,MA    ,59,663906,39.2,12.1,5674,6154,68808,75.4,27.7,14.4,8.7,23150,15369,1
72,Norfolk                ,MA    ,400,616087,28.8,14.1,2758,1903,14830,88,34.4,3.1,7.5,26909,16578,1
75,Providence             ,RI    ,413,596270,29.9,15.8,1862,2360,34627,67,18.3,8.9,9,17866,10653,1
81,Monmouth               ,NJ    ,472,553124,25.6,12.7,1300,1904,22302,82.8,28.4,3.4,5.8,27391,15151,1
82,Hudson                 ,NJ    ,47,553099,31.5,12.7,1036,2443,40581,64.1,19.7,12.4,9,18463,10212,1
83,Delaware               ,PA    ,184,547651,27.6,15.5,1374,1588,18924,81.4,24.8,5,5.3,23658,12956,1
86,Bucks                  ,PA    ,608,541174,26.6,10.9,879,1435,16894,82.9,24.8,2.9,6.7,22548,12202,1
91,Bristol                ,MA    ,556,506325,27.6,14.4,572,1306,22023,65,15.9,7.4,12.3,18521,9378,1
93,Camden                 ,NJ    ,222,502824,27.5,12.2,1255,2041,34814,75.5,21,8,6.9,19930,10021,1
96,Union                  ,NJ    ,103,493819,26.8,15,1362,2541,30299,75.2,25,5.3,6.9,26248,12962,1
101,Onondaga               ,NY    ,780,468973,29.4,13,1534,1668,23249,80.7,24.4,7.1,5.6,19401,9099,1
105,Hampden                ,MA    ,619,456310,27.8,14.8,904,1665,24247,73.6,17.6,10.9,9.6,19073,8703,1
106,Passaic                ,NJ    ,185,453060,28.9,12.9,831,1912,26434,68.8,18.7,7.6,8.1,21973,9955,1
109,New_Castle             ,DE    ,426,441946,30.6,11.4,1038,1488,27717,80.6,25.2,5,6.2,22284,9848,1
111,Plymouth               ,MA    ,661,435276,27.1,11.6,576,813,14846,83.8,22.2,5.3,10.4,21500,9358,1
112,Ocean                  ,NJ    ,636,433203,22.4,23.2,513,1475,17379,74.9,15.3,4.3,7.4,20974,9086,1
116,Lancaster              ,PA    ,949,422822,27.2,13.1,574,1241,13086,70.5,16.7,5.3,5.3,18878,7982,1
117,Morris                 ,NJ    ,469,421353,26.7,10.6,1147,1599,12147,87,36.7,1.8,5.1,31520,13281,1
