Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
1,Los_Angeles            ,CA    ,4060,8863164,32.1,9.7,23677,27700,688936,70,22.3,11.6,8,20786,184230,4
4,San_Diego              ,CA    ,4205,2498016,33.5,10.9,5905,6179,173821,81.9,25.3,8.1,6.1,19588,48931,4
5,Orange                 ,CA    ,790,2410556,32.6,9.2,6062,6369,144524,81.2,27.8,5.2,4.8,24400,58818,4
7,Maricopa               ,AZ    ,9204,2122101,29.2,12.5,4320,6104,177593,81.5,22.1,8.8,4.9,18042,38287,4
12,King                   ,WA    ,2126,1507319,30.1,11.1,5280,4009,124959,88.2,32.8,5,4.6,23779,35843,4
13,Santa_Clara            ,CA    ,1291,1497577,32.6,8.7,4101,3342,77009,82,32.6,5,5.5,25193,37728,4
14,San_Bernardino         ,CA    ,20062,1418380,30.1,8.8,2463,3349,83110,75.4,14.9,10.3,8,16399,23260,4
20,Alameda                ,CA    ,738,1279182,30.8,10.6,3169,3284,107338,81.4,28.8,8.1,5.3,22148,28331,4
23,Riverside              ,CA    ,7208,1170413,27.9,13.2,1385,2435,95494,74.1,14.6,8.4,10.7,17185,20114,4
26,Sacramento             ,CA    ,966,1041219,29.7,10.6,2464,2855,84305,82.2,23,9.8,6.3,18934,19714,4
37,Honolulu               ,HI    ,600,836231,30.6,11,2025,2174,51032,81.2,24.6,5.4,2.3,21307,17818,4
44,Contra_Costa           ,CA    ,720,803732,26.5,10.9,1761,1781,51243,86.5,31.6,5.5,5.6,25523,20514,4
49,Clark                  ,NV    ,7911,741459,29,10.5,969,2011,52786,77.3,13.8,7.5,5.8,18625,13810,4
52,Salt_Lake              ,UT    ,737,725956,27.8,8.5,2094,2076,58610,85.3,23.8,7.7,4.5,15399,11179,4
53,San_Francisco          ,CA    ,47,723959,32.2,14.5,4761,3640,71234,78,35,9.7,5.6,28532,20656,4
63,Ventura                ,CA    ,1846,669016,28.8,9.4,1168,1372,30235,79.4,23,5,7,21420,14330,4
64,Fresno                 ,CA    ,5963,667490,28.3,10.4,1188,1681,62004,66.2,16.9,16.8,12.6,16365,10923,4
65,Pima                   ,AZ    ,9187,666880,28.9,13.7,1841,2016,57051,80.5,23.3,12,3.9,15191,10131,4
69,San_Mateo              ,CA    ,449,649623,28.4,12.3,1814,1642,30473,84.1,31.3,4.3,4.2,28819,18721,4
77,Pierce                 ,WA    ,1676,586203,29.5,10.5,915,1226,41980,83.2,17.5,8.7,6.4,16194,9493,4
78,Multnomah              ,OR    ,435,583887,28.4,13.6,2571,3009,58216,82.9,23.7,8.9,5.1,19215,11219,4
85,Kern                   ,CA    ,8142,543477,28.3,9.7,682,1194,36318,67.6,13.3,13.7,11.8,15881,8631,4
98,San_Joaquin            ,CA    ,1399,480628,27.7,11.1,666,1051,41179,68.6,13.2,12,12,15453,7427,4
99,Bernalillo             ,NM    ,1166,480577,29.2,10.5,1585,1726,41280,82.1,26.7,10.9,5.2,17518,8419,4
102,Denver                 ,CO    ,153,467610,30.3,13.8,2867,3652,37466,79.2,29,13.1,5.4,22156,10360,4
103,Snohomish              ,WA    ,2090,465642,28.1,9.5,502,672,20323,85.7,19.3,4.9,5.6,18545,8635,4
110,Jefferson              ,CO    ,772,438430,26.9,8,551,298,23453,89.8,30.7,4.1,4.1,20997,9206,4
122,El_Paso                ,CO    ,2127,397014,31.7,8,548,1026,25234,88.3,25.8,8.1,6.1,16807,6673,4
126,Arapahoe               ,CO    ,803,391511,28.3,7.4,583,742,27587,91.5,35.2,4.4,3.9,22507,8812,4
127,Sonoma                 ,CA    ,1576,388222,25.8,13.4,840,798,18556,84.4,24.5,5.2,5.7,22055,8562,4
133,Stanislaus             ,CA    ,1495,370522,27.4,10.8,558,1306,25461,68.4,13,11.4,14.3,15238,5646,4
135,Santa_Barbara          ,CA    ,2739,369608,32.8,12.3,875,1031,18313,80,26.6,7.4,6,21902,8095,4
138,Spokane                ,WA    ,1764,361364,27,13.2,852,1346,20042,84.4,20.6,9.8,6.2,16365,5914,4
140,Monterey               ,CA    ,3322,355660,32.6,9.8,515,602,17870,72.9,21.5,8.5,10.9,19465,6923,4
145,Solano                 ,CA    ,828,340421,29.7,8.2,481,503,21756,82.7,18.7,6,7,17268,5878,4
155,Tulare                 ,CA    ,4824,311921,26.3,10.8,358,656,19489,60.2,11.8,18,17.1,14710,4588,4
156,Washington             ,OR    ,724,311554,27.6,10.1,353,294,12630,88.2,29.8,4.8,4.4,19932,6210,4
169,Lane                   ,OR    ,4554,282912,27.4,13.1,497,654,16091,83,22.2,9.4,6.5,15701,4442,4
172,Clackamas              ,OR    ,1868,278850,23.1,11.5,462,345,12855,85.7,23.6,4.7,4.2,19942,5561,4
181,Adams                  ,CO    ,1192,265038,29.6,7.6,439,318,19369,78.8,13,8.8,5,16116,4271,4
184,Utah                   ,UT    ,1998,263590,33.9,7,291,544,10605,87.9,26.2,10.6,4.3,11467,3023,4
191,Washoe                 ,NV    ,6343,254667,29.5,10.3,603,990,18831,82.5,20.7,6.3,5,21327,5431,4
204,Clark                  ,WA    ,628,238053,25.3,10.6,256,299,10706,83.9,16.8,7,6.6,16790,3997,4
206,Marin                  ,CA    ,520,230096,24.7,12.3,1001,488,9460,91.9,44,3,4,37541,8638,4
208,Santa_Cruz             ,CA    ,446,229734,29.9,11.3,429,390,13707,81.9,29.7,6.2,8,22025,5060,4
209,Marion                 ,OR    ,1185,228483,25.7,14.3,376,498,14825,78.7,17.5,9.4,5.7,16022,3661,4
214,Boulder                ,CO    ,743,225339,34.2,7.6,452,387,14124,91.3,42.1,5.6,3.5,21421,4827,4
221,San_Luis_Obispo        ,CA    ,3305,217162,31.4,14.1,424,522,8103,83.3,22.9,6.8,5.8,17221,3740,4
233,Ada                    ,ID    ,1055,205775,27.6,10.4,367,557,9701,87.2,24.9,6.2,4.1,18786,3866,4
242,Kitsap                 ,WA    ,396,189731,27.7,10.7,233,244,8996,86.6,19.8,7.5,5.2,17009,3227,4
245,Yakima                 ,WA    ,4296,188823,25.1,13,231,518,15139,66.1,13.7,15.6,11.6,15374,2903,4
246,Davis                  ,UT    ,305,187941,26.2,6.1,166,248,6279,89.9,23.5,5.5,4.5,13394,2517,4
250,Larimer                ,CO    ,2601,186136,32.1,9.6,278,409,8921,88.6,32.3,6.6,4.1,17140,3190,4
256,Butte                  ,CA    ,1640,182120,28.2,17.3,327,625,8939,77.6,19.5,12.2,9.4,15051,2741,4
